Flight No.,Launch site,Payload,Payload mass,Orbit,Customer,Launch outcome,Version Booster,Booster landing,Date,Time
,,,,,SpaceX,,,,,
,,,,,NASA,,,,,
,,,,,NASA,,,,,
,,,,,NASA,,,,,
,,,,,NASA,,,,,
,,,,,MDA,,,,,
,,,,,SES,,,,,
,,,,,Thaicom,,,,,
,,,,,NASA,,,,,
,,,,,Orbcomm,,,,,
,,,,,AsiaSat,,,,,
,,,,,AsiaSat,,,,,
,,,,,NASA,,,,,
,,,,,NASA,,,,,
,,,,,USAF,,,,,
,,,,,ABS,,,,,
,,,,,NASA,,,,,
,,,,,,,,,,
,,,,,NASA,,,,,
,,,,,Orbcomm,,,,,
,,,,,NASA,,,,,
,,,,,SES,,,,,
,,,,,NASA,,,,,
,,,,,SKY Perfect JSAT Group,,,,,
,,,,,Thaicom,,,,,
,,,,,ABS,,,,,
,,,,,NASA,,,,,
,,,,,SKY Perfect JSAT Group,,,,,
,,,,,Iridium Communications,,,,,
,,,,,NASA,,,,,
,,,,,EchoStar,,,,,
,,,,,SES,,,,,
,,,,,NRO,,,,,
,,,,,Inmarsat,,,,,
,,,,,NASA,,,,,
,,,,,Bulsatcom,,,,,
,,,,,Iridium Communications,,,,,
,,,,,Intelsat,,,,,
,,,,,NASA,,,,,
,,,,,NSPO,,,,,
,,,,,USAF,,,,,
,,,,,Iridium Communications,,,,,
,,,,,SES S.A.,,,,,
,,,,,KT Corporation,,,,,
,,,,,NASA,,,,,
,,,,,Iridium Communications,,,,,
,,,,,Northrop Grumman,,,,,
,,,,,SES,,,,,
,,,,,Hisdesat,,,,,
,,,,,Hispasat,,,,,
,,,,,Iridium Communications,,,,,
,,,,,NASA,,,,,
,,,,,NASA,,,,,
,,,,,Thales-Alenia,,,,,
,,,,,Iridium Communications,,,,,
,,,,,SES,,,,,
,,,,,NASA,,,,,
,,,,,Telesat,,,,,
,,,,,Iridium Communications,,,,,
,,,,,Telkom Indonesia,,,,,
,,,,,Telesat,,,,,
,,,,,CONAE,,,,,
,,,,,Es'hailSat,,,,,
,,,,,Spaceflight Industries,,,,,
,,,,,NASA,,,,,
,,,,,USAF,,,,,
,,,,,Iridium Communications,,,,,
,,,,,PSN,,,,,
,,,,,NASA,,,,,
,,,,,NASA,,,,,
,,,,,SpaceX,,,,,
,,,,,Canadian Space Agency,,,,,
,,,,,NASA,,,,,
,,,,,Spacecom,,,,,
,,,,,SpaceX,,,,,
,,,,,NASA,,,,,
,,,,,Sky Perfect JSAT,,,,,
,,,,,SpaceX,,,,,
,,,,,NASA,,,,,
,,,,,SpaceX,,,,,
,,,,,SpaceX,,,,,
,,,,,NASA,,,,,
,,,,,SpaceX,,,,,
,,,,,SpaceX,,,,,
,,,,,NASA,,,,,
,,,,,SpaceX,,,,,
,,,,,SpaceX,,,,,
,,,,,U.S. Space Force,,,,,
,,,,,Republic of Korea Army,,,,,
,,,,,SpaceX,,,,,
,,,,,SpaceX,,,,,
,,,,,CONAE,,,,,
,,,,,SpaceX,,,,,
,,,,,SpaceX,,,,,
,,,,,SpaceX,,,,,
,,,,,SpaceX,,,,,
,,,,,USSF,,,,,
,,,,,NASA,,,,,
,,,,,NASA,,,,,
,,,,,SpaceX,,,,,
,,,,,NASA,,,,,
,,,,,Sirius XM,,,,,
,,,,,NRO,,,,,
,,,,,TÃ¼rksat,,,,,
,,,,,SpaceX,,,,,
,,,,,,,,,,
,,,,,SpaceX,,,,,
,,,,,SpaceX,,,,,
,,,,,SpaceX,,,,,
,,,,,SpaceX,,,,,
,,,,,SpaceX,,,,,
,,,,,SpaceX,,,,,
,,,,,SpaceX,,,,,
,,,,,NASA,,,,,
,,,,,SpaceX,,,,,
,,,,,SpaceX,,,,,
,,,,,SpaceX,,,,,
,,,,,SpaceX,,,,,
,,,,,SpaceX,,,,,
,,,,,NASA,,,,,
,,,,,Sirius XM,,,,,
